timestamp,order_id,symbol,side,qty,price,entry_price,notional_usd,profit_usd,profit_pct,portfolio_value_usd,fee_model
2026-04-11T16:44:43.300506+00:00,febe975c-de70-42c5-8621-a6e07ff7ea19,DOT/USD,sell,232.655957801,1.3145,,305.8263,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T17:59:05.146073+00:00,a2c53d12-802a-45e3-b293-74683eff647a,DOT/USD,buy,157.074122,1.2652,,198.7302,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T18:45:16.478388+00:00,58940bcc-1b51-41bc-929a-5c39ace40c81,DOT/USD,sell,156.838510817,1.3174,,206.6191,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T21:06:35.639626+00:00,eb001e10-ab14-4948-86b7-c65ba0107969,DOT/USD,buy,162.475118,1.2652,,205.5635,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T22:20:46.959709+00:00,b5155196-8a85-453c-a350-1f123afc0369,DOT/USD,sell,162.231405323,1.3174,,213.7237,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-11T23:40:09.896140+00:00,6054bda9-5799-4cf4-bdb1-c253dad09a36,DOT/USD,buy,161.60042,1.2652,,204.4569,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-12T01:39:13.914493+00:00,971a71b3-c08b-49bc-acce-65803e8b5d1b,ADA/USD,buy,1023.310032,0.245901,,251.633,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-12T01:45:10.662348+00:00,2f6ce897-22d7-438d-8154-708e6b6e683c,CRV/USD,buy,783.812254,0.21355,,167.3831,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-12T02:04:19.852385+00:00,694ee2c4-ebb4-402e-b0be-cf5c3bfdd896,AAVE/USD,buy,1.298729,89.3412,,116.03,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-12T04:11:08.845527+00:00,cceab486-b820-4978-ab74-55a1cf4484cd,CRV/USD,sell,782.636535619,0.218281,,170.8347,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-13T02:24:06.699108+00:00,42c8cfa7-ea1a-4eb2-b6ef-2d8abc55bb15,AAVE/USD,sell,1.296780906,93.6867,,121.4911,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-13T02:42:06.963593+00:00,b60a760c-4e87-4fda-821c-47520e91e663,DOT/USD,sell,161.35801937,1.2566,,202.7625,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-13T14:00:14.158989+00:00,bc2e52c6-2e23-42fe-9fbe-be93620998bd,ADA/USD,sell,1021.775066952,0.243368,,248.6674,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-13T14:49:19.926399+00:00,26d0295e-3bb5-47f4-bfdd-d7377b50c4da,DOT/USD,buy,266.486759,1.1796,,314.3478,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-13T23:44:19.837462+00:00,d9947853-580f-42e3-9feb-4276d530bbab,DOT/USD,sell,265.820542102,1.2566,,334.0301,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-14T05:25:23.480862+00:00,be59037a-e806-4d3c-b2cb-d09fdbb80155,DOT/USD,buy,152.166122,1.1901,,181.0929,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-15T04:05:11.005052+00:00,8b4fdfee-033c-4a02-b10f-5572a061cb95,DOT/USD,sell,151.937872817,1.1915,,181.034,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-15T05:41:25.370860+00:00,a1ae3343-dda0-44e6-8140-c40ab7fa6a5a,DOT/USD,buy,201.076203,1.1571,,232.6653,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-15T19:49:30.462831+00:00,baa8b608-390b-44b6-8de6-f08fb6044085,DOT/USD,sell,200.774588695,1.2184,,244.6238,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-18T11:08:05.990298+00:00,c0af117f-447b-47a1-996c-88dd295a2b71,UNI/USD,buy,44.587497,3.3405,,148.9445,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-18T18:33:24.225360+00:00,2581112d-b3a8-4ad7-b6ae-cc463c0634e1,AAVE/USD,buy,1.409484,105.2111,,148.2934,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-19T00:17:04.226139+00:00,83212d2f-a85a-4d52-8e9e-0543dc0dab74,CRV/USD,buy,491.335668,0.224212,,110.1634,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-20T02:43:43.460473+00:00,43053f8a-179f-448a-866e-806a819b6858,UNI/USD,sell,44.520615754,3.3058,,147.1763,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-23T17:18:32.149184+00:00,5436c11f-f7bd-43b3-86a2-1ceebfd7c5aa,DOT/USD,buy,114.792882,1.2073,,138.5894,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-24T03:00:16.302813+00:00,a0561d00-ebe1-487b-a70f-a1802f814122,DOT/USD,sell,114.620692677,1.2665,,145.1671,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-25T06:10:59.008366+00:00,e72f6c52-8780-49a2-9590-4f073f0b4bcb,AAVE/USD,sell,1.407369774,95.3617,,134.2092,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-26T01:05:05.710793+00:00,6fb7249b-b9b7-456c-98e2-81af410eca0f,AAVE/USD,buy,2.732338,92.9521,,253.9766,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-26T03:15:15.610945+00:00,b581f2b9-dbbd-431d-83fa-4f7e2081a085,AAVE/USD,sell,2.728239493,93.7794,,255.8527,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-26T06:01:37.547287+00:00,d9d5d429-652f-4d6c-a87b-69b95c6c2a8e,UNI/USD,buy,78.457192,3.2434,,254.4681,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-26T07:40:08.295747+00:00,c6857da4-15a5-46ac-bbe7-b9142dd48648,UNI/USD,sell,78.339506212,3.2743,,256.507,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-04-26T10:49:01.736124+00:00,eefe8fe5-d7f6-44e9-b567-b4b564894b38,UNI/USD,buy,78.600045,3.2434,,254.9314,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
